GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1400000US53033004301,53033004301,"Census Tract 43.01, King County, Washington",3531,3334,2758,66,15,444,1,50,197,186,23,19,113,2,10,2,6,0,2,0,0,1,7,1,0,10,3,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004302,53033004302,"Census Tract 43.02, King County, Washington",3518,3339,2482,90,11,656,10,90,179,169,15,21,116,2,5,2,2,0,0,1,0,0,0,3,2,9,1,3,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",6260,5897,4787,156,29,804,8,113,363,331,38,58,180,15,9,5,5,0,2,3,0,1,11,4,0,21,2,6,1,0,3,0,1,5,0,1,1,0,0,1,0,0,0,0,0,0,11,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",2676,2543,2296,31,15,169,6,26,133,123,12,13,76,4,5,2,4,0,0,0,0,0,6,1,0,10,5,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",3251,3118,2848,34,14,187,1,34,133,121,18,16,68,1,13,0,0,0,1,1,3,0,0,0,0,12,0,0,0,0,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",6739,6463,5701,203,59,375,13,112,276,257,36,42,117,11,17,2,7,1,7,3,0,0,7,6,1,19,10,0,0,1,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",4539,4336,3931,89,31,242,2,41,203,191,32,54,80,2,10,2,2,0,1,2,0,1,4,1,0,10,1,2,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",6139,5837,5247,120,37,361,12,60,302,279,40,55,145,6,17,3,3,1,2,0,0,0,3,2,2,22,8,2,0,0,3,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",3600,3434,3008,120,15,250,8,33,166,159,20,33,67,7,11,0,3,0,8,1,0,2,2,5,0,6,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033005100,53033005100,"Census Tract 51, King County, Washington",3662,3484,3151,45,14,246,3,25,178,164,17,29,99,3,7,1,1,0,0,0,0,0,2,5,0,14,7,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
